CHR	BP	end	CF
1	16800	16900	2.6847187153084
1	16900	17000	3.57962495374453
1	17400	17500	2.6847187153084
1	18000	18100	2.23726559609033
1	18100	18200	4.47453119218067
1	18200	18300	4.47453119218067
1	18300	18400	2.6847187153084
1	18900	19000	2.6847187153084
1	56400	56500	5.3694374306168
1	77100	77200	2.6847187153084
1	77200	77300	3.13217183452647
1	77300	77400	3.13217183452647
1	78200	78300	4.92198431139873
1	78300	78400	3.57962495374453
1	193600	193700	2.6847187153084
1	194300	194400	3.57962495374453
1	208000	208100	8.50160926514327
1	208500	208600	6.26434366905293
1	208600	208700	6.711796788271
1	208700	208800	4.0270780729626
1	214000	214100	3.13217183452647
1	214100	214200	6.711796788271
1	309300	309400	2.6847187153084
1	349900	350000	5.3694374306168
1	350000	350100	2.23726559609033
1	354400	354500	3.57962495374453
1	354500	354600	2.6847187153084
1	433000	433100	2.6847187153084
1	460800	460900	2.6847187153084
1	499000	499100	5.3694374306168
1	499100	499200	5.3694374306168
1	499200	499300	3.13217183452647
1	499300	499400	5.3694374306168
1	499400	499500	3.13217183452647
1	499500	499600	4.47453119218067
1	500000	500100	2.6847187153084
1	540300	540400	2.6847187153084
1	540400	540500	2.6847187153084
1	540500	540600	2.6847187153084
1	540600	540700	2.6847187153084
1	544500	544600	2.23726559609033
1	559300	559400	2.23726559609033
1	587200	587300	3.57962495374453
1	587300	587400	4.0270780729626
1	587400	587500	4.0270780729626
1	587500	587600	2.6847187153084
1	587600	587700	2.6847187153084
1	604400	604500	4.0270780729626
1	607000	607100	3.57962495374453
1	607100	607200	2.6847187153084
1	634200	634300	2.6847187153084
1	669800	669900	2.23726559609033
1	670600	670700	3.57962495374453
1	676500	676600	2.23726559609033
1	676800	676900	2.23726559609033
1	676900	677000	2.6847187153084
1	677000	677100	3.57962495374453
1	677100	677200	2.6847187153084
1	677200	677300	2.6847187153084
1	696300	696400	2.6847187153084
1	697400	697500	2.6847187153084
1	697600	697700	2.6847187153084
1	697700	697800	2.6847187153084
1	726700	726800	2.6847187153084
1	728900	729000	2.6847187153084
1	758600	758700	2.6847187153084
1	759600	759700	2.23726559609033
1	760600	760700	2.6847187153084
1	921800	921900	7.60670302670713
1	921900	922000	4.47453119218067
1	922300	922400	3.57962495374453
1	923300	923400	3.13217183452647
1	934800	934900	2.23726559609033
1	934900	935000	2.23726559609033
1	943700	943800	3.57962495374453
1	944000	944100	2.6847187153084
1	972100	972200	2.6847187153084
1	972200	972300	2.6847187153084
1	972300	972400	2.6847187153084
1	972400	972500	3.57962495374453
1	1157700	1157800	3.57962495374453
1	1160200	1160300	2.6847187153084
1	1160300	1160400	3.57962495374453
1	1160600	1160700	2.6847187153084
1	1174400	1174500	4.47453119218067
1	1197200	1197300	3.13217183452647
1	1197300	1197400	5.81689054983487
1	1197400	1197500	5.3694374306168
1	1206700	1206800	2.23726559609033
1	1206800	1206900	2.6847187153084
1	1206900	1207000	3.57962495374453
1	1276000	1276100	5.81689054983487
1	1276100	1276200	2.23726559609033
1	1276500	1276600	2.23726559609033
1	1276800	1276900	5.3694374306168
1	1276900	1277000	4.47453119218067
1	1430900	1431000	2.23726559609033
1	1431000	1431100	2.6847187153084
1	1441600	1441700	2.23726559609033
1	1442200	1442300	3.13217183452647
1	1443500	1443600	4.0270780729626
1	1443600	1443700	5.3694374306168
1	1443700	1443800	3.57962495374453
1	1443800	1443900	4.0270780729626
1	1443900	1444000	2.6847187153084
1	1477600	1477700	2.6847187153084
1	1519600	1519700	2.6847187153084
1	1519700	1519800	5.3694374306168
1	1519800	1519900	4.47453119218067
1	1519900	1520000	3.57962495374453
1	1522500	1522600	3.13217183452647
1	1522600	1522700	3.57962495374453
1	1522700	1522800	5.3694374306168
1	1522800	1522900	4.0270780729626
1	1589300	1589400	4.47453119218067
1	1589400	1589500	3.57962495374453
1	1592900	1593000	2.6847187153084
1	1613400	1613500	3.13217183452647
1	1613500	1613600	2.6847187153084
1	1613600	1613700	4.47453119218067
1	1613700	1613800	2.23726559609033
1	1738900	1739000	3.13217183452647
1	1739000	1739100	3.13217183452647
1	1791700	1791800	2.6847187153084
1	1791800	1791900	3.57962495374453
1	1791900	1792000	2.6847187153084
1	1937900	1938000	2.6847187153084
1	1938000	1938100	2.6847187153084
1	1976200	1976300	4.47453119218067
1	1976300	1976400	5.3694374306168
1	1976800	1976900	2.6847187153084
1	2030900	2031000	4.47453119218067
1	2031000	2031100	6.26434366905293
1	2031100	2031200	6.26434366905293
1	2031200	2031300	2.23726559609033
1	2031300	2031400	2.6847187153084
1	2157100	2157200	2.6847187153084
1	2157400	2157500	4.92198431139873
1	2157500	2157600	3.57962495374453
1	2189000	2189100	2.6847187153084
1	2235200	2235300	4.47453119218067
1	2254400	2254500	2.6847187153084
1	2254600	2254700	3.57962495374453
1	2254700	2254800	5.81689054983487
1	2415800	2415900	2.23726559609033
1	2415900	2416000	3.13217183452647
1	2416000	2416100	4.47453119218067
1	2444600	2444700	3.13217183452647
1	2444700	2444800	3.13217183452647
1	2444800	2444900	2.6847187153084
1	2461200	2461300	2.23726559609033
1	2461400	2461500	3.57962495374453
1	2473300	2473400	2.6847187153084
1	2514200	2514300	2.6847187153084
1	2514300	2514400	2.6847187153084
1	2514400	2514500	2.6847187153084
1	2532400	2532500	2.6847187153084
1	2533900	2534000	3.57962495374453
1	2534000	2534100	2.23726559609033
1	2534100	2534200	2.23726559609033
1	2534300	2534400	2.23726559609033
1	2534400	2534500	4.0270780729626
1	2534500	2534600	5.81689054983487
1	2534600	2534700	3.57962495374453
1	2534700	2534800	3.57962495374453
1	2587300	2587400	7.60670302670713
1	2587400	2587500	9.3965155035794
1	2587500	2587600	8.0541561459252
1	2587600	2587700	4.47453119218067
1	2587700	2587800	5.3694374306168
1	2587800	2587900	3.13217183452647
1	2588400	2588500	2.6847187153084
1	2612400	2612500	2.6847187153084
1	2663000	2663100	4.0270780729626
1	2788500	2788600	3.57962495374453
1	2788600	2788700	4.0270780729626
1	2788900	2789000	2.6847187153084
1	2789000	2789100	2.6847187153084
1	2789400	2789500	2.6847187153084
1	2789500	2789600	2.6847187153084
1	2791600	2791700	2.6847187153084
1	2791700	2791800	4.47453119218067
1	2791800	2791900	2.6847187153084
1	2793700	2793800	2.6847187153084
1	2794300	2794400	2.6847187153084
1	2796000	2796100	4.0270780729626
1	2796100	2796200	3.57962495374453
1	2796200	2796300	4.92198431139873
1	2796300	2796400	4.47453119218067
1	2796400	2796500	4.47453119218067
1	2796500	2796600	3.57962495374453
1	2796600	2796700	3.57962495374453
1	2798200	2798300	3.57962495374453
1	2798300	2798400	5.3694374306168
1	2798400	2798500	4.47453119218067
1	2799600	2799700	2.23726559609033
1	2800000	2800100	2.23726559609033
1	2800100	2800200	2.23726559609033
1	2866000	2866100	2.6847187153084
1	2866300	2866400	2.23726559609033
1	2866400	2866500	2.6847187153084
1	2866500	2866600	2.6847187153084
1	2886400	2886500	2.23726559609033
1	2984300	2984400	2.6847187153084
1	2986200	2986300	2.6847187153084
1	2986400	2986500	2.6847187153084
1	2986500	2986600	2.6847187153084
1	2986700	2986800	3.57962495374453
1	2986800	2986900	3.57962495374453
1	2986900	2987000	8.0541561459252
1	3024200	3024300	2.23726559609033
1	3024300	3024400	2.6847187153084
1	3069200	3069300	5.81689054983487
1	3073700	3073800	2.6847187153084
1	3073800	3073900	3.13217183452647
1	3074800	3074900	3.57962495374453
1	3075100	3075200	2.23726559609033
1	3075200	3075300	3.13217183452647
1	3075300	3075400	5.81689054983487
1	3075400	3075500	2.6847187153084
1	3090200	3090300	2.23726559609033
1	3109500	3109600	2.6847187153084
1	3109600	3109700	2.6847187153084
1	3124900	3125000	3.13217183452647
1	3125000	3125100	3.13217183452647
1	3262500	3262600	2.23726559609033
1	3330800	3330900	4.0270780729626
1	3330900	3331000	4.92198431139873
1	3331000	3331100	5.81689054983487
1	3331100	3331200	4.0270780729626
1	3331200	3331300	4.47453119218067
1	3332300	3332400	2.6847187153084
1	3332700	3332800	2.6847187153084
1	3342400	3342500	3.57962495374453
1	3342500	3342600	5.3694374306168
1	3342600	3342700	4.47453119218067
1	3342700	3342800	5.3694374306168
1	3381600	3381700	2.6847187153084
1	3388000	3388100	3.57962495374453
1	3413100	3413200	6.711796788271
1	3413200	3413300	4.0270780729626
1	3427900	3428000	2.6847187153084
1	3498900	3499000	3.13217183452647
1	3551400	3551500	2.23726559609033
1	3551600	3551700	2.6847187153084
1	3557400	3557500	2.23726559609033
1	3573100	3573200	2.6847187153084
1	3672700	3672800	2.6847187153084
1	3672800	3672900	2.6847187153084
1	3672900	3673000	6.711796788271
1	3673000	3673100	6.26434366905293
1	3715100	3715200	4.47453119218067
1	3728500	3728600	4.47453119218067
1	3728600	3728700	2.23726559609033
1	3728700	3728800	2.23726559609033
1	3729500	3729600	2.23726559609033
1	3729600	3729700	2.23726559609033
1	3730100	3730200	2.6847187153084
1	3757800	3757900	2.6847187153084
1	3780700	3780800	4.47453119218067
1	3780800	3780900	3.13217183452647
1	3780900	3781000	2.6847187153084
1	3782000	3782100	2.6847187153084
1	3782300	3782400	4.47453119218067
1	3782400	3782500	3.13217183452647
1	3782700	3782800	2.6847187153084
1	3782800	3782900	3.57962495374453
1	3783400	3783500	2.6847187153084
1	3784600	3784700	3.57962495374453
1	3784800	3784900	2.6847187153084
1	3785100	3785200	2.6847187153084
1	3785500	3785600	2.6847187153084
1	3785600	3785700	2.6847187153084
1	3785700	3785800	2.23726559609033
1	3895700	3895800	2.6847187153084
1	3896400	3896500	2.23726559609033
1	3898100	3898200	2.6847187153084
1	3927500	3927600	3.57962495374453
1	3927600	3927700	3.57962495374453
1	3931900	3932000	2.6847187153084
1	3932000	3932100	2.6847187153084
1	3936000	3936100	3.13217183452647
1	3936100	3936200	2.23726559609033
1	4094400	4094500	2.6847187153084
1	4098800	4098900	2.6847187153084
1	4110400	4110500	2.6847187153084
1	4110500	4110600	3.57962495374453
1	4113100	4113200	2.6847187153084
1	4136000	4136100	2.23726559609033
1	4136100	4136200	2.6847187153084
1	4136200	4136300	2.6847187153084
1	4136900	4137000	3.57962495374453
1	4137100	4137200	3.57962495374453
1	4137200	4137300	3.57962495374453
1	4194200	4194300	2.6847187153084
1	4194300	4194400	5.3694374306168
1	4209100	4209200	3.57962495374453
1	4292700	4292800	4.47453119218067
1	4292800	4292900	4.92198431139873
1	4292900	4293000	4.47453119218067
1	4293000	4293100	5.81689054983487
1	4293100	4293200	2.6847187153084
1	4293400	4293500	2.23726559609033
1	4293700	4293800	3.13217183452647
1	4293800	4293900	4.92198431139873
1	4293900	4294000	4.0270780729626
1	4294000	4294100	2.23726559609033
1	4298100	4298200	2.6847187153084
1	4312000	4312100	2.6847187153084
1	4312100	4312200	2.6847187153084
1	4329200	4329300	2.6847187153084
1	4330000	4330100	2.6847187153084
1	4330100	4330200	2.23726559609033
1	4330800	4330900	3.13217183452647
1	4330900	4331000	3.57962495374453
1	4331200	4331300	2.23726559609033
1	4332000	4332100	3.57962495374453
1	4332100	4332200	4.0270780729626
1	4332400	4332500	3.57962495374453
1	4332500	4332600	4.0270780729626
1	4332900	4333000	3.57962495374453
1	4333000	4333100	4.92198431139873
1	4333100	4333200	4.92198431139873
1	4334200	4334300	3.57962495374453
1	4334300	4334400	4.47453119218067
1	4406000	4406100	2.6847187153084
1	4406100	4406200	5.3694374306168
1	4406200	4406300	6.26434366905293
1	4406300	4406400	5.3694374306168
1	4406400	4406500	4.92198431139873
1	4406500	4406600	4.47453119218067
1	4406600	4406700	4.92198431139873
1	4406700	4406800	4.92198431139873
1	4406800	4406900	3.13217183452647
1	4407800	4407900	2.6847187153084
1	4407900	4408000	2.23726559609033
1	4408000	4408100	2.23726559609033
1	4408100	4408200	4.0270780729626
1	4408200	4408300	4.47453119218067
1	4408300	4408400	3.57962495374453
1	4408600	4408700	2.6847187153084
1	4408700	4408800	3.57962495374453
1	4408800	4408900	2.23726559609033
1	4410700	4410800	2.23726559609033
1	4410800	4410900	4.92198431139873
1	4410900	4411000	4.0270780729626
1	4413000	4413100	3.13217183452647
1	4413100	4413200	4.0270780729626
1	4413200	4413300	2.23726559609033
1	4414400	4414500	2.23726559609033
1	4414500	4414600	4.0270780729626
1	4414600	4414700	4.92198431139873
1	4414700	4414800	3.13217183452647
